
(TPR): 6.6964%, (TNR): 97.5023%, (FPR): 2.4977%, (FNR): 93.3036%

(TPR): 14.2697%, (TNR): 98.3400%, (FPR): 1.6600%, (FNR): 85.7303%

(TPR): 15.4662%, (TNR): 98.4759%, (FPR): 1.5241%, (FNR): 84.5338%

(TPR): 15.3546%, (TNR): 98.4635%, (FPR): 1.5365%, (FNR): 84.6454%

(TPR): 13.8066%, (TNR): 98.2903%, (FPR): 1.7097%, (FNR): 86.1934%

(TPR): 13.8780%, (TNR): 98.2967%, (FPR): 1.7033%, (FNR): 86.1220%

(TPR): 11.3966%, (TNR): 98.0237%, (FPR): 1.9763%, (FNR): 88.6034%

(TPR): 12.1652%, (TNR): 98.1099%, (FPR): 1.8901%, (FNR): 87.8348%

(TPR): 12.7719%, (TNR): 98.1783%, (FPR): 1.8217%, (FNR): 87.2281%

(TPR): 16.1093%, (TNR): 98.5500%, (FPR): 1.4500%, (FNR): 83.8907%

(TPR): 16.6200%, (TNR): 98.6002%, (FPR): 1.3998%, (FNR): 83.3800%

(TPR): 16.9463%, (TNR): 98.6373%, (FPR): 1.3627%, (FNR): 83.0537%

(TPR): 10.8380%, (TNR): 97.9616%, (FPR): 2.0384%, (FNR): 89.1620%

(TPR): 16.5456%, (TNR): 98.5938%, (FPR): 1.4062%, (FNR): 83.4544%

(TPR): 13.9743%, (TNR): 98.3089%, (FPR): 1.6911%, (FNR): 86.0257%

(TPR): 13.1696%, (TNR): 98.2218%, (FPR): 1.7782%, (FNR): 86.8304%

(TPR): 16.0515%, (TNR): 98.5382%, (FPR): 1.4618%, (FNR): 83.9485%

(TPR): 14.8770%, (TNR): 98.4081%, (FPR): 1.5919%, (FNR): 85.1230%

(TPR): 14.3177%, (TNR): 98.3461%, (FPR): 1.6539%, (FNR): 85.6823%

(TPR): 13.1138%, (TNR): 98.2156%, (FPR): 1.7844%, (FNR): 86.8862%

(TPR): 12.9827%, (TNR): 98.1976%, (FPR): 1.8024%, (FNR): 87.0173%

(TPR): 11.7549%, (TNR): 98.0664%, (FPR): 1.9336%, (FNR): 88.2451%

(TPR): 13.2213%, (TNR): 98.2226%, (FPR): 1.7774%, (FNR): 86.7787%

(TPR): 14.3177%, (TNR): 98.3461%, (FPR): 1.6539%, (FNR): 85.6823%

(TPR): 14.5333%, (TNR): 98.3708%, (FPR): 1.6292%, (FNR): 85.4667%

(TPR): 15.0195%, (TNR): 98.4264%, (FPR): 1.5736%, (FNR): 84.9805%

(TPR): 14.7486%, (TNR): 98.3955%, (FPR): 1.6045%, (FNR): 85.2514%

(TPR): 10.2406%, (TNR): 97.8937%, (FPR): 2.1063%, (FNR): 89.7594%

(TPR): 14.5577%, (TNR): 98.3711%, (FPR): 1.6289%, (FNR): 85.4423%

(TPR): 16.8439%, (TNR): 98.6250%, (FPR): 1.3750%, (FNR): 83.1561%

(TPR): 14.7797%, (TNR): 98.4014%, (FPR): 1.5986%, (FNR): 85.2203%

(TPR): 14.5892%, (TNR): 98.3770%, (FPR): 1.6230%, (FNR): 85.4108%

