NumAciertos     %Acierto     %Presencia     %TP_sobre_1s     %FN_sobre_1s     %FP_sobre_0s     %TN_sobre_0s
            6         5.77          5.77           100.00             0.00           100.00             0.00
           99        95.19          4.81             0.00           100.00             0.00           100.00
          103        99.04          0.96             0.00           100.00             0.00           100.00
            1         0.96          0.96           100.00             0.00           100.00             0.00
           99        95.19          4.81             0.00           100.00             0.00           100.00
           24        23.08         23.08           100.00             0.00           100.00             0.00
          100        96.15          3.85             0.00           100.00             0.00           100.00
          103        99.04          0.96             0.00           100.00             0.00           100.00
           98        94.23          5.77             0.00           100.00             0.00           100.00
           11        10.58         10.58           100.00             0.00           100.00             0.00
            8         7.69          7.69           100.00             0.00           100.00             0.00
           98        94.23          5.77             0.00           100.00             0.00           100.00
            5         4.81          4.81           100.00             0.00           100.00             0.00
           97        93.27          6.73             0.00           100.00             0.00           100.00
           97        93.27          6.73             0.00           100.00             0.00           100.00
            6         5.77          5.77           100.00             0.00           100.00             0.00
           99        95.19          4.81             0.00           100.00             0.00           100.00
           99        95.19          4.81             0.00           100.00             0.00           100.00
          101        97.12          2.88             0.00           100.00             0.00           100.00
            6         5.77          5.77           100.00             0.00           100.00             0.00
           14        13.46         13.46           100.00             0.00           100.00             0.00
          100        96.15          3.85             0.00           100.00             0.00           100.00
            4         3.85          3.85           100.00             0.00           100.00             0.00
           96        92.31          7.69             0.00           100.00             0.00           100.00
          100        96.15          3.85             0.00           100.00             0.00           100.00
           99        95.19          4.81             0.00           100.00             0.00           100.00
          101        97.12          2.88             0.00           100.00             0.00           100.00
           98        94.23          5.77             0.00           100.00             0.00           100.00
          102        98.08          1.92             0.00           100.00             0.00           100.00
           99        95.19          4.81             0.00           100.00             0.00           100.00
           98        94.23          5.77             0.00           100.00             0.00           100.00
            3         2.88          2.88           100.00             0.00           100.00             0.00
          102        98.08          1.92             0.00           100.00             0.00           100.00
           27        25.96         25.96           100.00             0.00           100.00             0.00
          100        96.15          3.85             0.00           100.00             0.00           100.00
          102        98.08          1.92             0.00           100.00             0.00           100.00
           98        94.23          5.77             0.00           100.00             0.00           100.00
            5         4.81          4.81           100.00             0.00           100.00             0.00
           98        94.23          5.77             0.00           100.00             0.00           100.00
           92        88.46         11.54             0.00           100.00             0.00           100.00
          100        96.15          3.85             0.00           100.00             0.00           100.00
          101        97.12          2.88             0.00           100.00             0.00           100.00
           94        90.38          9.62             0.00           100.00             0.00           100.00
            5         4.81          4.81           100.00             0.00           100.00             0.00
          101        97.12          2.88             0.00           100.00             0.00           100.00
          100        96.15          3.85             0.00           100.00             0.00           100.00
          101        97.12          2.88             0.00           100.00             0.00           100.00
           97        93.27          6.73             0.00           100.00             0.00           100.00
          102        98.08          1.92             0.00           100.00             0.00           100.00
           97        93.27          6.73             0.00           100.00             0.00           100.00
           98        94.23          5.77             0.00           100.00             0.00           100.00
           96        92.31          7.69             0.00           100.00             0.00           100.00
          103        99.04          0.96             0.00           100.00             0.00           100.00
          101        97.12          2.88             0.00           100.00             0.00           100.00
            9         8.65          8.65           100.00             0.00           100.00             0.00
           99        95.19          4.81             0.00           100.00             0.00           100.00
          103        99.04          0.96             0.00           100.00             0.00           100.00
          100        96.15          3.85             0.00           100.00             0.00           100.00
           98        94.23          5.77             0.00           100.00             0.00           100.00
          101        97.12          2.88             0.00           100.00             0.00           100.00
           91        87.50         12.50             0.00           100.00             0.00           100.00
          100        96.15          3.85             0.00           100.00             0.00           100.00
          100        96.15          3.85             0.00           100.00             0.00           100.00
          101        97.12          2.88             0.00           100.00             0.00           100.00
          100        96.15          3.85             0.00           100.00             0.00           100.00
          100        96.15          3.85             0.00           100.00             0.00           100.00
          101        97.12          2.88             0.00           100.00             0.00           100.00
          101        97.12          2.88             0.00           100.00             0.00           100.00
           93        89.42         10.58             0.00           100.00             0.00           100.00
           12        11.54         11.54           100.00             0.00           100.00             0.00
           97        93.27          6.73             0.00           100.00             0.00           100.00
           98        94.23          5.77             0.00           100.00             0.00           100.00
          102        98.08          1.92             0.00           100.00             0.00           100.00
           13        12.50         12.50           100.00             0.00           100.00             0.00
           98        94.23          5.77             0.00           100.00             0.00           100.00
           99        95.19          4.81             0.00           100.00             0.00           100.00
           94        90.38          9.62             0.00           100.00             0.00           100.00
          101        97.12          2.88             0.00           100.00             0.00           100.00
          101        97.12          2.88             0.00           100.00             0.00           100.00
           15        14.42         14.42           100.00             0.00           100.00             0.00
          102        98.08          1.92             0.00           100.00             0.00           100.00
          101        97.12          2.88             0.00           100.00             0.00           100.00
           98        94.23          5.77             0.00           100.00             0.00           100.00
            3         2.88          2.88           100.00             0.00           100.00             0.00
           95        91.35          8.65             0.00           100.00             0.00           100.00
          101        97.12          2.88             0.00           100.00             0.00           100.00
           96        92.31          7.69             0.00           100.00             0.00           100.00
            6         5.77          5.77           100.00             0.00           100.00             0.00
          101        97.12          2.88             0.00           100.00             0.00           100.00
          101        97.12          2.88             0.00           100.00             0.00           100.00
          103        99.04          0.96             0.00           100.00             0.00           100.00
            3         2.88          2.88           100.00             0.00           100.00             0.00
            5         4.81          4.81           100.00             0.00           100.00             0.00
           98        94.23          5.77             0.00           100.00             0.00           100.00
          102        98.08          1.92             0.00           100.00             0.00           100.00
           99        95.19          4.81             0.00           100.00             0.00           100.00
          101        97.12          2.88             0.00           100.00             0.00           100.00
           99        95.19          4.81             0.00           100.00             0.00           100.00
           27        25.96         25.96           100.00             0.00           100.00             0.00
          101        97.12          2.88             0.00           100.00             0.00           100.00
           98        94.23          5.77             0.00           100.00             0.00           100.00
          100        96.15          3.85             0.00           100.00             0.00           100.00
            4         3.85          3.85           100.00             0.00           100.00             0.00
            8         7.69          7.69           100.00             0.00           100.00             0.00
          102        98.08          1.92             0.00           100.00             0.00           100.00
          100        96.15          3.85             0.00           100.00             0.00           100.00
          100        96.15          3.85             0.00           100.00             0.00           100.00
          101        97.12          2.88             0.00           100.00             0.00           100.00
           26        25.00         25.00           100.00             0.00           100.00             0.00
          100        96.15          3.85             0.00           100.00             0.00           100.00
            1         0.96          0.96           100.00             0.00           100.00             0.00
           34        32.69         32.69           100.00             0.00           100.00             0.00
          100        96.15          3.85             0.00           100.00             0.00           100.00
