NumAciertos     %Acierto     %Presencia     %TP_sobre_1s     %FN_sobre_1s     %FP_sobre_0s     %TN_sobre_0s
           58        55.77          5.77            83.33            16.67            45.92            54.08
           99        95.19          4.81             0.00           100.00             0.00           100.00
          102        98.08          0.96             0.00           100.00             0.97            99.03
           43        41.35          0.96           100.00             0.00            59.22            40.78
           51        49.04          4.81            80.00            20.00            52.53            47.47
           24        23.08         23.08           100.00             0.00           100.00             0.00
           97        93.27          3.85             0.00           100.00             3.00            97.00
          103        99.04          0.96             0.00           100.00             0.00           100.00
           98        94.23          5.77             0.00           100.00             0.00           100.00
           68        65.38         10.58             9.09            90.91            27.96            72.04
           82        78.85          7.69            25.00            75.00            16.67            83.33
           59        56.73          5.77            50.00            50.00            42.86            57.14
           86        82.69          4.81            20.00            80.00            14.14            85.86
           97        93.27          6.73             0.00           100.00             0.00           100.00
           94        90.38          6.73            14.29            85.71             4.12            95.88
           93        89.42          5.77            16.67            83.33             6.12            93.88
           99        95.19          4.81             0.00           100.00             0.00           100.00
           96        92.31          4.81             0.00           100.00             3.03            96.97
           95        91.35          2.88             0.00           100.00             5.94            94.06
           96        92.31          5.77            16.67            83.33             3.06            96.94
           16        15.38         13.46           100.00             0.00            97.78             2.22
          100        96.15          3.85             0.00           100.00             0.00           100.00
           90        86.54          3.85            50.00            50.00            12.00            88.00
           92        88.46          7.69            12.50            87.50             5.21            94.79
          100        96.15          3.85             0.00           100.00             0.00           100.00
           99        95.19          4.81             0.00           100.00             0.00           100.00
           93        89.42          2.88            33.33            66.67             8.91            91.09
           50        48.08          5.77            50.00            50.00            52.04            47.96
           64        61.54          1.92           100.00             0.00            39.22            60.78
           99        95.19          4.81             0.00           100.00             0.00           100.00
           98        94.23          5.77             0.00           100.00             0.00           100.00
           82        78.85          2.88             0.00           100.00            18.81            81.19
          101        97.12          1.92             0.00           100.00             0.98            99.02
           28        26.92         25.96            85.19            14.81            93.51             6.49
           97        93.27          3.85             0.00           100.00             3.00            97.00
          102        98.08          1.92             0.00           100.00             0.00           100.00
           89        85.58          5.77             0.00           100.00             9.18            90.82
           99        95.19          4.81             0.00           100.00             0.00           100.00
           95        91.35          5.77            16.67            83.33             4.08            95.92
           92        88.46         11.54             0.00           100.00             0.00           100.00
          100        96.15          3.85             0.00           100.00             0.00           100.00
          100        96.15          2.88             0.00           100.00             0.99            99.01
           59        56.73          9.62            90.00            10.00            46.81            53.19
           76        73.08          4.81            20.00            80.00            24.24            75.76
           96        92.31          2.88            33.33            66.67             5.94            94.06
          100        96.15          3.85             0.00           100.00             0.00           100.00
          101        97.12          2.88             0.00           100.00             0.00           100.00
           97        93.27          6.73             0.00           100.00             0.00           100.00
          102        98.08          1.92             0.00           100.00             0.00           100.00
           97        93.27          6.73             0.00           100.00             0.00           100.00
           94        90.38          5.77             0.00           100.00             4.08            95.92
           96        92.31          7.69             0.00           100.00             0.00           100.00
          103        99.04          0.96             0.00           100.00             0.00           100.00
           99        95.19          2.88             0.00           100.00             1.98            98.02
